"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input","dist","ocean","source","domain","inCanada"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus",126752,"Marine-Brackish","Ammodytes tobianus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Syngnathiformes","Syngnathidae","Amphelikturus","Amphelikturus dendriticus",316266,"Marine","Acentronura dendritica",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion frenatus",278394,"Marine","Amphiprion frenatus",3.30436081328429,"Pacific","Org_CanFish","eez focused","outside"
"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion perideraion",278403,"Marine-Brackish","Amphiprion perideraion",3.30436081328429,"Pacific","Org_CanFish","eez focused","outside"
"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Amphistichus","Amphistichus koelzi",279595,"Marine","Amphistichus koelzi",16.4222585828604,"Pacific","Org_CanFish","eez focused","outside"
"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Amphistichus","Amphistichus rhodoterus",279596,"Marine-Brackish","Amphistichus rhodoterus",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Anarchias","Anarchias similis",158581,"Marine","Anarchias similis",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus",126757,"Marine","Anarhichas denticulatus",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus",126758,"Marine","Anarhichas lupus",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas minor",126759,"Marine","Anarhichas minor",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas orientalis",254511,"Marine","Anarhichas orientalis",0,"Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarrhichthys","Anarrhichthys ocellatus",279605,"Marine","Anarrhichthys ocellatus",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Anchoa","Anchoa hepsetus",158698,"Marine-Brackish","Anchoa hepsetus",0,"Atlantic-Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",158699,"Marine-Freshwater-Brackish","Anchoa mitchilli",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla",126281,"Marine-Freshwater-Brackish","Anguilla anguilla",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata",158562,"Marine-Freshwater-Brackish","Anguilla rostrata",0,"Atlantic","Org_CanFish","eez focused","inside"
